Season_Year,Average,Season,Year
Summer-1828,7.795,Summer,1828
Summer-1829,7.424,Summer,1829
Summer-1832,1.268,Summer,1832
Summer-1833,6.642,Summer,1833
Summer-1834,5.987,Summer,1834
Summer-1835,4.465,Summer,1835
Summer-1836,6.179,Summer,1836
Summer-1837,5.817,Summer,1837
Summer-1838,6.059,Summer,1838
Summer-1839,6.832,Summer,1839
Summer-1840,5.965,Summer,1840
Summer-1841,5.996,Summer,1841
Summer-1842,5.812,Summer,1842
Summer-1843,5.498,Summer,1843
Summer-1844,5.800,Summer,1844
Summer-1845,6.005,Summer,1845
Summer-1846,3.042,Summer,1846
Summer-1847,7.125,Summer,1847
Summer-1848,5.997,Summer,1848
Summer-1849,5.916,Summer,1849
Summer-1850,6.290,Summer,1850
Summer-1851,7.220,Summer,1851
Summer-1852,6.884,Summer,1852
Summer-1853,6.460,Summer,1853
Summer-1854,6.187,Summer,1854
Summer-1855,6.600,Summer,1855
Summer-1856,6.277,Summer,1856
Summer-1857,6.870,Summer,1857
Summer-1858,5.965,Summer,1858
Summer-1859,5.876,Summer,1859
Summer-1860,6.660,Summer,1860
Summer-1861,6.442,Summer,1861
Summer-1862,5.869,Summer,1862
Summer-1863,6.797,Summer,1863
Summer-1864,7.043,Summer,1864
Summer-1865,6.622,Summer,1865
Summer-1866,6.277,Summer,1866
Summer-1867,6.348,Summer,1867
Summer-1868,7.173,Summer,1868
Summer-1869,7.470,Summer,1869
Summer-1870,7.417,Summer,1870
Summer-1871,7.058,Summer,1871
Summer-1872,6.775,Summer,1872
Summer-1873,7.027,Summer,1873
Summer-1874,7.505,Summer,1874
Summer-1875,6.949,Summer,1875
Summer-1876,6.531,Summer,1876
Summer-1877,7.115,Summer,1877
Summer-1878,6.978,Summer,1878
Summer-1879,6.391,Summer,1879
Summer-1880,6.396,Summer,1880
Summer-1881,6.247,Summer,1881
Summer-1882,6.661,Summer,1882
Summer-1883,6.903,Summer,1883
Summer-1884,6.462,Summer,1884
Summer-1885,7.534,Summer,1885
Summer-1886,7.036,Summer,1886
Summer-1887,5.937,Summer,1887
Summer-1888,6.954,Summer,1888
Summer-1889,7.126,Summer,1889
Summer-1890,5.978,Summer,1890
Summer-1891,6.925,Summer,1891
Summer-1892,6.650,Summer,1892
Summer-1893,6.038,Summer,1893
Summer-1894,6.301,Summer,1894
Summer-1895,6.226,Summer,1895
Summer-1896,6.291,Summer,1896
Summer-1897,6.933,Summer,1897
Summer-1898,7.170,Summer,1898
Summer-1899,5.667,Summer,1899
Summer-1900,6.496,Summer,1900
Summer-1901,6.369,Summer,1901
Summer-1902,6.316,Summer,1902
Summer-1903,6.114,Summer,1903
Summer-1904,6.678,Summer,1904
Summer-1905,6.841,Summer,1905
Summer-1906,7.436,Summer,1906
Summer-1907,6.640,Summer,1907
Summer-1908,6.223,Summer,1908
Summer-1909,6.064,Summer,1909
Summer-1910,6.349,Summer,1910
Summer-1911,6.150,Summer,1911
Summer-1912,6.757,Summer,1912
Summer-1913,6.113,Summer,1913
Summer-1914,6.816,Summer,1914
Summer-1915,7.640,Summer,1915
Summer-1916,6.548,Summer,1916
Summer-1917,6.255,Summer,1917
Summer-1918,6.756,Summer,1918
Summer-1919,6.232,Summer,1919
Summer-1920,5.755,Summer,1920
Summer-1921,6.694,Summer,1921
Summer-1922,6.922,Summer,1922
Summer-1923,7.712,Summer,1923
Summer-1924,6.960,Summer,1924
Summer-1925,7.201,Summer,1925
Summer-1926,7.222,Summer,1926
Summer-1927,6.892,Summer,1927
Summer-1928,7.042,Summer,1928
Summer-1929,6.985,Summer,1929
Summer-1930,6.868,Summer,1930
Summer-1931,7.178,Summer,1931
Summer-1932,6.894,Summer,1932
Summer-1933,6.030,Summer,1933
Summer-1934,7.387,Summer,1934
Summer-1935,6.239,Summer,1935
Summer-1936,7.563,Summer,1936
Summer-1937,7.238,Summer,1937
Summer-1938,7.832,Summer,1938
Summer-1939,6.713,Summer,1939
Summer-1940,7.902,Summer,1940
Summer-1941,7.765,Summer,1941
Summer-1942,7.870,Summer,1942
Summer-1943,6.936,Summer,1943
Summer-1944,7.723,Summer,1944
Summer-1945,6.590,Summer,1945
Summer-1946,7.035,Summer,1946
Summer-1947,6.983,Summer,1947
Summer-1948,6.776,Summer,1948
Summer-1949,6.811,Summer,1949
Summer-1950,6.568,Summer,1950
Summer-1951,6.721,Summer,1951
Summer-1952,7.259,Summer,1952
Summer-1953,7.165,Summer,1953
Summer-1954,5.896,Summer,1954
Summer-1955,6.031,Summer,1955
Summer-1956,6.694,Summer,1956
Summer-1957,7.188,Summer,1957
Summer-1958,8.332,Summer,1958
Summer-1959,6.382,Summer,1959
Summer-1960,7.091,Summer,1960
Summer-1961,7.374,Summer,1961
Summer-1962,6.926,Summer,1962
Summer-1963,7.632,Summer,1963
Summer-1964,6.409,Summer,1964
Summer-1965,7.145,Summer,1965
Summer-1966,6.598,Summer,1966
Summer-1967,7.595,Summer,1967
Summer-1968,6.507,Summer,1968
Summer-1969,7.263,Summer,1969
Summer-1970,6.760,Summer,1970
Summer-1971,7.016,Summer,1971
Summer-1972,6.139,Summer,1972
Summer-1973,6.647,Summer,1973
Summer-1974,6.829,Summer,1974
Summer-1975,6.765,Summer,1975
Summer-1976,6.789,Summer,1976
Summer-1977,7.334,Summer,1977
Summer-1978,7.509,Summer,1978
Summer-1979,7.624,Summer,1979
Summer-1980,7.648,Summer,1980
Summer-1981,7.296,Summer,1981
Summer-1982,7.064,Summer,1982
Summer-1983,7.196,Summer,1983
Summer-1984,6.273,Summer,1984
Summer-1985,6.676,Summer,1985
Summer-1986,7.020,Summer,1986
Summer-1987,7.834,Summer,1987
Summer-1988,7.359,Summer,1988
Summer-1989,8.031,Summer,1989
Summer-1990,7.881,Summer,1990
Summer-1991,7.433,Summer,1991
Summer-1992,7.254,Summer,1992
Summer-1993,8.074,Summer,1993
Summer-1994,8.260,Summer,1994
Summer-1995,7.956,Summer,1995
Summer-1996,6.582,Summer,1996
Summer-1997,7.550,Summer,1997
Summer-1998,8.745,Summer,1998
Summer-1999,6.943,Summer,1999
Summer-2000,6.859,Summer,2000
Summer-2001,7.009,Summer,2001
Summer-2002,6.698,Summer,2002
Summer-2003,7.705,Summer,2003
Summer-2004,8.108,Summer,2004
Summer-2005,7.874,Summer,2005
Summer-2006,7.933,Summer,2006
Summer-2007,7.262,Summer,2007
Summer-2008,7.052,Summer,2008
Summer-2009,7.644,Summer,2009
Summer-2010,7.724,Summer,2010
Summer-2011,7.157,Summer,2011
Summer-2012,7.493,Summer,2012
Summer-2013,9.379,Summer,2013
Winter-1827,-10.538,Winter,1827
Winter-1828,-11.003,Winter,1828
Winter-1829,-9.290,Winter,1829
Winter-1831,-9.045,Winter,1831
Winter-1832,-9.564,Winter,1832
Winter-1833,-8.665,Winter,1833
Winter-1834,-10.680,Winter,1834
Winter-1835,-9.535,Winter,1835
Winter-1836,-9.973,Winter,1836
Winter-1837,-8.782,Winter,1837
Winter-1838,-9.964,Winter,1838
Winter-1839,-10.075,Winter,1839
Winter-1840,-9.180,Winter,1840
Winter-1841,-9.325,Winter,1841
Winter-1842,-9.509,Winter,1842
Winter-1843,-10.717,Winter,1843
Winter-1844,-9.917,Winter,1844
Winter-1845,-9.482,Winter,1845
Winter-1846,-9.511,Winter,1846
Winter-1847,-9.742,Winter,1847
Winter-1848,-10.233,Winter,1848
Winter-1849,-10.473,Winter,1849
Winter-1850,-10.119,Winter,1850
Winter-1851,-9.892,Winter,1851
Winter-1852,-8.972,Winter,1852
Winter-1853,-8.713,Winter,1853
Winter-1854,-11.200,Winter,1854
Winter-1855,-8.866,Winter,1855
Winter-1856,-7.633,Winter,1856
Winter-1857,-9.782,Winter,1857
Winter-1858,-10.543,Winter,1858
Winter-1859,-9.719,Winter,1859
Winter-1860,-9.764,Winter,1860
Winter-1861,-9.311,Winter,1861
Winter-1862,-11.388,Winter,1862
Winter-1863,-10.289,Winter,1863
Winter-1864,-9.464,Winter,1864
Winter-1865,-9.472,Winter,1865
Winter-1866,-9.906,Winter,1866
Winter-1867,-9.712,Winter,1867
Winter-1868,-9.157,Winter,1868
Winter-1869,-8.683,Winter,1869
Winter-1870,-10.087,Winter,1870
Winter-1871,-9.765,Winter,1871
Winter-1872,-9.152,Winter,1872
Winter-1873,-9.645,Winter,1873
Winter-1874,-11.368,Winter,1874
Winter-1875,-10.645,Winter,1875
Winter-1876,-10.507,Winter,1876
Winter-1877,-7.905,Winter,1877
Winter-1878,-8.119,Winter,1878
Winter-1879,-10.783,Winter,1879
Winter-1880,-10.756,Winter,1880
Winter-1881,-10.041,Winter,1881
Winter-1882,-11.328,Winter,1882
Winter-1883,-10.419,Winter,1883
Winter-1884,-9.292,Winter,1884
Winter-1885,-8.953,Winter,1885
Winter-1886,-10.891,Winter,1886
Winter-1887,-11.466,Winter,1887
Winter-1888,-10.441,Winter,1888
Winter-1889,-7.411,Winter,1889
Winter-1890,-11.316,Winter,1890
Winter-1891,-10.073,Winter,1891
Winter-1892,-9.841,Winter,1892
Winter-1893,-10.401,Winter,1893
Winter-1894,-10.342,Winter,1894
Winter-1895,-10.041,Winter,1895
Winter-1896,-10.673,Winter,1896
Winter-1897,-10.541,Winter,1897
Winter-1898,-8.412,Winter,1898
Winter-1899,-10.333,Winter,1899
Winter-1900,-8.856,Winter,1900
Winter-1901,-10.067,Winter,1901
Winter-1902,-8.552,Winter,1902
Winter-1903,-8.489,Winter,1903
Winter-1904,-10.095,Winter,1904
Winter-1905,-9.073,Winter,1905
Winter-1906,-8.072,Winter,1906
Winter-1907,-11.092,Winter,1907
Winter-1908,-10.159,Winter,1908
Winter-1909,-10.809,Winter,1909
Winter-1910,-9.719,Winter,1910
Winter-1911,-9.903,Winter,1911
Winter-1912,-8.387,Winter,1912
Winter-1913,-11.022,Winter,1913
Winter-1914,-9.062,Winter,1914
Winter-1915,-8.525,Winter,1915
Winter-1916,-11.276,Winter,1916
Winter-1917,-9.976,Winter,1917
Winter-1918,-10.666,Winter,1918
Winter-1919,-9.281,Winter,1919
Winter-1920,-9.718,Winter,1920
Winter-1921,-9.621,Winter,1921
Winter-1922,-9.768,Winter,1922
Winter-1923,-10.277,Winter,1923
Winter-1924,-6.994,Winter,1924
Winter-1925,-9.361,Winter,1925
Winter-1926,-8.286,Winter,1926
Winter-1927,-8.040,Winter,1927
Winter-1928,-7.605,Winter,1928
Winter-1929,-8.133,Winter,1929
Winter-1930,-9.991,Winter,1930
Winter-1931,-7.689,Winter,1931
Winter-1932,-10.457,Winter,1932
Winter-1933,-9.709,Winter,1933
Winter-1934,-7.191,Winter,1934
Winter-1935,-9.099,Winter,1935
Winter-1936,-11.644,Winter,1936
Winter-1937,-9.995,Winter,1937
Winter-1938,-7.186,Winter,1938
Winter-1939,-9.190,Winter,1939
Winter-1940,-7.825,Winter,1940
Winter-1941,-8.491,Winter,1941
Winter-1942,-5.982,Winter,1942
Winter-1943,-9.283,Winter,1943
Winter-1944,-8.871,Winter,1944
Winter-1945,-8.725,Winter,1945
Winter-1946,-7.401,Winter,1946
Winter-1947,-9.764,Winter,1947
Winter-1948,-9.206,Winter,1948
Winter-1949,-10.891,Winter,1949
Winter-1950,-12.002,Winter,1950
Winter-1951,-9.951,Winter,1951
Winter-1952,-8.671,Winter,1952
Winter-1953,-7.224,Winter,1953
Winter-1954,-12.320,Winter,1954
Winter-1955,-9.183,Winter,1955
Winter-1956,-9.849,Winter,1956
Winter-1957,-10.335,Winter,1957
Winter-1958,-7.218,Winter,1958
Winter-1959,-8.861,Winter,1959
Winter-1960,-9.897,Winter,1960
Winter-1961,-6.803,Winter,1961
Winter-1962,-9.516,Winter,1962
Winter-1963,-9.480,Winter,1963
Winter-1964,-8.417,Winter,1964
Winter-1965,-9.843,Winter,1965
Winter-1966,-9.308,Winter,1966
Winter-1967,-9.940,Winter,1967
Winter-1968,-7.109,Winter,1968
Winter-1969,-12.047,Winter,1969
Winter-1970,-9.033,Winter,1970
Winter-1971,-9.909,Winter,1971
Winter-1972,-11.738,Winter,1972
Winter-1973,-7.587,Winter,1973
Winter-1974,-10.173,Winter,1974
Winter-1975,-9.004,Winter,1975
Winter-1976,-10.159,Winter,1976
Winter-1977,-7.525,Winter,1977
Winter-1978,-7.888,Winter,1978
Winter-1979,-10.331,Winter,1979
Winter-1980,-8.685,Winter,1980
Winter-1981,-6.668,Winter,1981
Winter-1982,-11.694,Winter,1982
Winter-1983,-8.901,Winter,1983
Winter-1984,-7.740,Winter,1984
Winter-1985,-7.586,Winter,1985
Winter-1986,-6.269,Winter,1986
Winter-1987,-6.615,Winter,1987
Winter-1988,-7.018,Winter,1988
Winter-1989,-11.003,Winter,1989
Winter-1990,-7.435,Winter,1990
Winter-1991,-8.393,Winter,1991
Winter-1992,-5.277,Winter,1992
Winter-1993,-8.890,Winter,1993
Winter-1994,-9.057,Winter,1994
Winter-1995,-9.938,Winter,1995
Winter-1996,-8.398,Winter,1996
Winter-1997,-8.164,Winter,1997
Winter-1998,-6.755,Winter,1998
Winter-1999,-7.702,Winter,1999
Winter-2000,-7.894,Winter,2000
Winter-2001,-6.080,Winter,2001
Winter-2002,-8.566,Winter,2002
Winter-2003,-7.061,Winter,2003
Winter-2004,-6.825,Winter,2004
Winter-2005,-7.848,Winter,2005
Winter-2006,-7.925,Winter,2006
Winter-2007,-8.322,Winter,2007
Winter-2008,-8.816,Winter,2008
Winter-2009,-9.410,Winter,2009
Winter-2010,-6.068,Winter,2010
Winter-2011,-9.478,Winter,2011
Winter-2012,-7.279,Winter,2012
Winter-2013,-6.768,Winter,2013
